year_of_highest_suicide_rate,state_having_highest_suicide_rate,most_common_method_of_committing_suicide,causes,gender_commits_more_suicide,age_group_committing_highest_suicide,education,martial_status,method_opted_by_males,method_opted_by_females,method_opted_by_1_14,method_opted_by_15_29,method_opted_by_30_44,method_opted_by_45_59,method_opted_by_60,cause_for_male,cause_for_female,gender_commits_more_suicide_in_karnataka,gender_commits_more_suicide_in_odisha,age_group_committing_highest_suicide_in_karnataka,age_group_committing_highest_suicide_in_odisha,education_status_in_karnataka,method_opted_in_karnataka,reason_in_karnataka,critical_problem
2012,"Karnataka,Odisha","By hanging","Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By Drowning","By hanging","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","2010"
2012,"Karnataka,Odisha","By hanging","debt,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By Drowning","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By Consuming Insecticides","Family Problems","Failure of crops","Male","Female","30-44","30-44","Uneducated","By hanging","Debt","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By Consuming Insecticides","By hanging","By Drowning","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By Drowning","By hanging","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Family crisis","Male","30-44","Uneducated","Married","By hanging","By hanging","By Drowning","By Drowning","By hanging","By Drowning","By hanging","Family Problems","Family Problems","Male","Male","30-44","30-44","Uneducated","By Drowning","Family Problems","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By Drowning","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By hanging","By Coming Under Running Vehicles/Trains","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Maybe"
2012,"Karnataka","By hanging","Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","15-29","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Odisha,Assam","By hanging","Poverty,Family crisis,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By Drowning","By hanging","By hanging","By Consuming Insecticides","Failure of crops","Family Problems","Male","Male","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Drowning","By Consuming Insecticides","By Drowning","By Coming Under Running Vehicles/Trains","By Drowning","By hanging","Family Problems","Debt","Male","Female","45-59","30-44","Uneducated","By Consuming Insecticides","Debt","Yes"
2012,"Karnataka","By hanging","Poverty,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Poverty,Family crisis,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Consuming Insecticides","By Consuming Insecticides","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Male","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","debt,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Consuming Insecticides","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Odisha,Hyderabad","By Coming Under Running Vehicles/Trains","debt,Failure of crops","Female","30-44","Educated","Married","By hanging","By Consuming Insecticides","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By Coming Under Running Vehicles/Trains","By Drowning","By hanging","Family Problems","Debt","Male","Female","15-29","30-44","Educated","By Consuming Insecticides","Debt","Yes"
2012,"Karnataka","By Consuming Insecticides","Poverty,Family crisis,debt","Male","30-44","Uneducated","Married","By Consuming Insecticides","By Consuming Insecticides","By hanging","By Coming Under Running Vehicles/Trains","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","Failure of crops","Family Problems","Male","Male","30-44","30-44","Uneducated","By Coming Under Running Vehicles/Trains","Family Problems","No"
2012,"Karnataka,Hyderabad","By Drowning","Poverty,debt","Male","30-44","Uneducated","Married","By hanging","By hanging","By Drowning","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By Coming Under Running Vehicles/Trains","By Consuming Insecticides","Family Problems","Failure of crops","Male","Female","15-29","30-44","Uneducated","By Coming Under Running Vehicles/Trains","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By Consuming Insecticides","Failure of crops","Family Problems","Male","Female","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Poverty,Family crisis,debt,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By Drowning","By hanging","Failure of crops","Family Problems","Male","Male","30-44","30-44","Uneducated","By hanging","Poverty","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Male","15-29","Uneducated","Married","By Consuming Insecticides","By hanging","By hanging","By hanging","By hanging","By Drowning","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Poverty,Family crisis,debt,Failure of crops","Male","45-59","Uneducated","Married","By hanging","By Consuming Insecticides","By Drowning","By Drowning","By hanging","By hanging","By Consuming Insecticides","Failure of crops","Failure of crops","Male","Male","30-44","30-44","Uneducated","By Consuming Insecticides","Failure of crops","Yes"
2012,"Karnataka","By hanging","Poverty","Male","30-44","Uneducated","Married","By hanging","By hanging","By Coming Under Running Vehicles/Trains","By hanging","By Coming Under Running Vehicles/Trains","By Consuming Insecticides","By Consuming Insecticides","Failure of crops","Family Problems","Male","Female","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Failure of crops","Male","45-59","Uneducated","Married","By hanging","By Consuming Insecticides","By Drowning","By Drowning","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Male","45-59","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","debt,Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Drowning","By Drowning","By hanging","By hanging","By hanging","By Coming Under Running Vehicles/Trains","Failure of crops","Family Problems","Male","Female","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Poverty,Family crisis,debt,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By Drowning","By Consuming Insecticides","By hanging","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","Family Problems","Debt","Male","Female","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By Consuming Insecticides","Poverty,debt","Male","30-44","Uneducated","Married","By Drowning","By hanging","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By hanging","By Consuming Insecticides","By Drowning","Family Problems","Failure of crops","Male","Female","45-59","30-44","Uneducated","By Drowning","Failure of crops","Yes"
2012,"Karnataka","By hanging","Family crisis,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By Coming Under Running Vehicles/Trains","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Hyderabad","By hanging","debt,Failure of crops","Male","45-59","Uneducated","Married","By hanging","By Coming Under Running Vehicles/Trains","By hanging","By hanging","By hanging","By hanging","By hanging","Debt","Family Problems","Male","Male","30-44","30-44","Educated","By hanging","Poverty","Yes"
2012,"Karnataka","By hanging","Failure of crops","Male","30-44","Uneducated","Married","By hanging","By Consuming Insecticides","By Consuming Insecticides","By hanging","By hanging","By hanging","By Consuming Insecticides","Failure of crops","Family Problems","Male","Male","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Poverty,Family crisis,debt,Failure of crops","Male","30-44","Uneducated","Un-married","By Consuming Insecticides","By hanging","By hanging","By Drowning","By Consuming Insecticides","By hanging","By Drowning","Family Problems","Failure of crops","Male","Female","45-59","30-44","Uneducated","By Drowning","Poverty","Yes"
2012,"Karnataka,Odisha","By hanging","Poverty,Family crisis,debt,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By Drowning","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Female","Female","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By Consuming Insecticides","Family crisis,Failure of crops","Male","15-29","Uneducated","Married","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By Consuming Insecticides","Failure of crops","Yes"
2012,"Karnataka","By hanging","Family crisis,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Male","30-44","30-44","Educated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","debt","Male","30-44","Educated","Married","By hanging","By Consuming Insecticides","By Consuming Insecticides","By hanging","By hanging","By hanging","By hanging","Debt","Debt","Male","Female","45-59","30-44","Educated","By hanging","Debt","Yes"
2012,"Karnataka,Hyderabad","By Consuming Insecticides","Family crisis,Failure of crops","Female","30-44","Educated","Divorce","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","By Drowning","By hanging","By Drowning","By Consuming Insecticides","By Coming Under Running Vehicles/Trains","Failure of crops","Family Problems","Female","Male","15-29","30-44","Uneducated","By Coming Under Running Vehicles/Trains","Poverty","Maybe"
2012,"Karnataka","By hanging","Failure of crops","Male","30-44","Uneducated","Married","By hanging","By hanging","By Drowning","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Male","30-44","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Failure of crops","Male","30-44","Uneducated","Married","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","By Consuming Insecticides","By hanging","By hanging","Failure of crops","Failure of crops","Male","Male","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Family crisis,Failure of crops","Male","30-44","Educated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Family Problems","Family Problems","Male","Male","30-44","30-44","Educated","By hanging","Family Problems","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By Consuming Insecticides","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Un-married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Odisha","By hanging","Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By Drowning","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka,Odisha","By hanging","Failure of crops","Male","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By Coming Under Running Vehicles/Trains","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","No"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Failure of crops","Male","15-29","Uneducated","Married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Male","15-29","30-44","Uneducated","By hanging","Failure of crops","No"
2012,"Karnataka,Odisha","By hanging","Family crisis,Failure of crops","Female","30-44","Uneducated","Un-married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","Yes"
2012,"Karnataka","By hanging","Failure of crops","Male","15-29","Uneducated","Un-married","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","By hanging","Failure of crops","Family Problems","Male","Female","15-29","30-44","Uneducated","By hanging","Failure of crops","No"
